dppId,sku,edition,totalEditions,batch,origin,ipHolder,licensee,territory,licenseNo,nfcId
JIP-DLX-001847,JIP-DLX,1847,10000,BATCH-2026-03,Tokyo Japan,Publisher Alpha,Licensed Maker A,Japan / Global,LIC-2026-0042,NFC-04A2B7C9
JIP-DLX-001848,JIP-DLX,1848,10000,BATCH-2026-03,Tokyo Japan,Publisher Alpha,Licensed Maker A,Japan / Global,LIC-2026-0042,NFC-04A2B7CA
JIP-DLX-001849,JIP-DLX,1849,10000,BATCH-2026-03,Tokyo Japan,Publisher Alpha,Licensed Maker A,Japan / Global,LIC-2026-0042,NFC-04A2B7CB
JIP-FIG-000301,JIP-FIG,301,5000,BATCH-2026-04,Osaka Japan,Publisher Alpha,Figure Maker B,Japan Only,LIC-2026-0071,NFC-04B1C2D3
JIP-FIG-000302,JIP-FIG,302,5000,BATCH-2026-04,Osaka Japan,Publisher Alpha,Figure Maker B,Japan Only,LIC-2026-0071,NFC-04B1C2D4
JIP-ART-000055,JIP-ART,55,2000,BATCH-2026-02,Kyoto Japan,Publisher Alpha,Art Press C,Global,LIC-2026-0088,NFC-04C3D4E5
JIP-ART-000056,JIP-ART,56,2000,BATCH-2026-02,Kyoto Japan,Publisher Alpha,Art Press C,Global,LIC-2026-0088,NFC-04C3D4E6
JCG-SLD-000412,JCG-SLD,412,8000,BATCH-2026-05,Tokyo Japan,Game Publisher Beta,Licensed Maker A,Japan / Asia,LIC-2026-0103,NFC-04D5E6F7
JCG-SLD-000413,JCG-SLD,413,8000,BATCH-2026-05,Tokyo Japan,Game Publisher Beta,Licensed Maker A,Japan / Asia,LIC-2026-0103,NFC-04D5E6F8
JIP-DLX-002000,JIP-DLX,2000,10000,BATCH-2026-06,Tokyo Japan,Publisher Alpha,Licensed Maker A,Japan / Global,LIC-2026-0042,NFC-04E7F8A9
